NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
830017969,UNIDAD MEDICA SANTAFE SAS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8621,SERVICIOS,$0.05,$0.00,$0.03,$0.01,$0.02,2022
830031687,POLUX SUMINISTROS SAS EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4651,COMERCIO,$0.05,-$0.00,$0.04,$0.04,$0.00,2022
830038757,QUIMICA LIDER SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,4664,COMERCIO,$0.05,$0.00,$0.02,$0.01,$0.01,2022
901242222,LA CASA DEL AGRO MCU S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MARINILLA-ANTIOQUIA,4664,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
900682082,INTERDOORS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,GIRARDOTA -ANTIOQUIA,1630,MANUFACTURA,$0.05,$0.00,$0.02,$0.02,$0.00,2022
901167792,AB MARINE GROUP SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARANOA-ATLANTICO,3012,MANUFACTURA,$0.05,$0.01,$0.06,$0.04,$0.02,2022
901253217,SOLUCIONES AGROPECUARIAS Y FINANCIERAS SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4620,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
901193667,NETCOL INGENIERIA SAS BIC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6190,SERVICIOS,$0.05,$0.00,$0.01,$0.01,$0.01,2022
900390239,900390239,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8220,SERVICIOS,$0.05,$0.00,$0.06,$0.05,$0.00,2022
890929073,RONELLY SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4645,COMERCIO,$0.05,$0.00,$0.03,$0.01,$0.02,2022
890932940,REPARES SOCIEDAD ANONIMA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4663,COMERCIO,$0.05,$0.00,$0.02,$0.01,$0.01,2022
890934054,VINCULAMOS S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,7820,SERVICIOS,$0.05,$0.00,$0.01,$0.01,$0.00,2022
800112061,BOTERO INGENIEROS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4312,CONSTRUCCIÓN,$0.05,$0.00,$0.05,$0.02,$0.03,2022
800058438,DISTRIBUCIONES HERNANDEZ HERNANDEZ Y CIA LTDA,SUPERSOCIEDADES,Costa Atlántica,SUCRE,SINCELEJO-SUCRE,4620,COMERCIO,$0.05,$0.00,$0.04,$0.03,$0.01,2022
890208395,CENTRAL DE ABASTOS DE BUCARAMANGA S.A. ( (VER INFORMACION ANTERIOR) ),SUPERFINANCIERA,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,6810,SERVICIOS,$0.05,-$0.00,$0.46,$0.08,$0.38,2022
800002942,ITELCA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6190,SERVICIOS,$0.05,$0.00,$0.04,$0.01,$0.03,2022
830104409,IMPORTADORA NACIONAL DE LLANTAS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4530,COMERCIO,$0.05,$0.00,$0.03,$0.03,$0.01,2022
860029126,JARDINES DE PAZ S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,9603,SERVICIOS,$0.05,$0.00,$0.08,$0.05,$0.03,2022
800198348,VENTAS INSTITUCIONALES SAS EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4631,COMERCIO,$0.05,$0.01,$0.05,$0.02,$0.02,2022
900525043,DISANDI SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BARRANCABERMEJA-SANTANDER,4631,COMERCIO,$0.05,$0.00,$0.00,$0.00,$0.00,2022
811016426,MEDICAMENTOS POS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4645,COMERCIO,$0.05,-$0.02,$0.11,$0.11,$0.00,2022
900334029,CURTIDOS LEATHERCOLSAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,VILLAPINZON-CUNDINAMARCA-CUNDINAMARCA,1511,MANUFACTURA,$0.05,$0.00,$0.02,$0.01,$0.00,2022
805028530,HOSPITAL ISAIAS DUARTE CANCINO EMPRESA SOCIAL DEL ESTADO,SUPERSALUD,Costa Pacífica,VALLE,CALI-VALLE,8610,SERVICIOS,$0.05,$0.00,$0.07,$0.03,$0.04,2022
900742091,ENERFLEX COMPRESSION SERVICES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,910,MINERO,$0.05,$0.01,$0.07,$0.04,$0.03,2022
890927158,PILOTO S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1811,MANUFACTURA,$0.05,$0.00,$0.02,$0.02,$0.01,2022
800216958,ASISTIR SALUD SAS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8621,SERVICIOS,$0.05,$0.00,$0.03,$0.02,$0.01,2022
900380333,CENTRAL MOTOR AMERICA SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,4541,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.01,2022
900330855,LABORATORIOS OSA SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,2100,MANUFACTURA,$0.05,-$0.00,$0.04,$0.03,$0.01,2022
890937546,LAMINAIRE SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2599,MANUFACTURA,$0.05,$0.01,$0.03,$0.01,$0.02,2022
900490788,BECALL OUTSOURCING SAS,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,8220,SERVICIOS,$0.05,$0.00,$0.02,$0.01,$0.01,2022
800179736,TRIADA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4111,CONSTRUCCIÓN,$0.05,$0.01,$0.23,$0.11,$0.12,2022
900949435,ADBID LATINOAMERICA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7310,SERVICIOS,$0.05,$0.01,$0.04,$0.03,$0.01,2022
890980066,ESE HOSPITAL SAN RAFAEL-ITAGUI,SUPERSALUD,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,9499,SERVICIOS,$0.05,-$0.00,$0.08,$0.05,$0.03,2022
830014193,THOMAS GREG SEGURIDAD INTEGRAL LTDA .,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8010,SERVICIOS,$0.05,$0.00,$0.01,$0.01,$0.00,2022
900030829,PROMOTORA CALEDONIA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4111,CONSTRUCCIÓN,$0.05,$0.00,$0.08,$0.06,$0.02,2022
900631361,INVERSIONES MEDICAS VALLE SALUD SAS - CLINICA VALLE SALUD,SUPERSALUD,Costa Pacífica,VALLE,CALI-VALLE,8610,SERVICIOS,$0.05,$0.01,$0.05,$0.02,$0.03,2022
900131471,AZURITA SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,7490,SERVICIOS,$0.05,$0.01,$0.49,$0.04,$0.45,2022
900430690,FIRENZECORP SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4663,COMERCIO,$0.05,$0.00,$0.03,$0.03,$0.00,2022
800209804,LABORATORIO MEDICO LAS AMERICAS LTDA.,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8691,SERVICIOS,$0.05,$0.01,$0.04,$0.02,$0.02,2022
900166230,OASIS FLORALIFE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,3290,MANUFACTURA,$0.05,$0.00,$0.04,$0.02,$0.02,2022
900939798,RENTING AUTOMAYOR SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7710,SERVICIOS,$0.05,$0.00,$0.19,$0.16,$0.03,2022
900518732,SAMSONITE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1512,MANUFACTURA,$0.05,$0.01,$0.05,$0.04,$0.01,2022
802015186,CONTACTAMOS DE COLOMBIA SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,7820,SERVICIOS,$0.05,$0.00,$0.01,$0.00,$0.00,2022
901237665,ELITENUT SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,4631,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
900989024,C.I MINERAL METALS LOGISTICS & SOLUTIONS S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4662,COMERCIO,$0.05,$0.00,$0.01,$0.00,$0.00,2022
890906407,FORJAS BOLIVAR SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2591,MANUFACTURA,$0.05,$0.00,$0.06,$0.02,$0.04,2022
900121262,PLASTICOS FORMOSA LTDA,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,2013,MANUFACTURA,$0.05,$0.00,$0.03,$0.01,$0.01,2022
900156200,CONSTRUCTORA GARCIA E HIJOS SAS,SUPERSOCIEDADES,Otros,META,VILLAVICENCIO-META,4111,CONSTRUCCIÓN,$0.05,$0.02,$0.03,$0.01,$0.02,2022
900323278,CI DISTRIBUCIONES SYE SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4663,COMERCIO,$0.05,$0.00,$0.04,$0.02,$0.02,2022
860050247,VIGIAS DE COLOMBIA SRL LTDA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8010,SERVICIOS,$0.05,$0.00,$0.02,$0.00,$0.02,2022
890319790,PROIMPO AS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,4669,COMERCIO,$0.05,$0.00,$0.02,$0.01,$0.01,2022
900195679,GTD COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,6120,SERVICIOS,$0.05,-$0.00,$0.11,$0.05,$0.06,2022
860508064,INDUSTRIA HARINERA  LOS TIGRES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1051,MANUFACTURA,$0.05,$0.00,$0.03,$0.01,$0.02,2022
900925006,NEGOCIOS E INVERSIONES MONTESUR S.A.S.,SUPERSOCIEDADES,Costa Atlántica,SUCRE,SINCELEJO-SUCRE,4752,COMERCIO,$0.05,$0.00,$0.02,$0.01,$0.01,2022
800205166,ROCALES Y CONCRETOS SOCIEDAD POR ACCIONES SIMPLIFICADA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4290,CONSTRUCCIÓN,$0.05,$0.00,$0.06,$0.04,$0.03,2022
900181419,MEINTEGRAL S.A.S,SUPERSALUD,Eje Cafetero,CALDAS,MANIZALES-CALDAS,8621,SERVICIOS,$0.05,$0.00,$0.04,$0.02,$0.02,2022
900789062,DR. REDDY ' S LABORATORIES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,$0.05,-$0.00,$0.04,$0.04,$0.00,2022
830079234,SEIKOU S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4690,COMERCIO,$0.05,-$0.00,$0.07,$0.03,$0.04,2022
900280342,DISTRIBUCIONES HICAR SAS,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA MARTA-MAGDALENA,4729,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
800193165,KYROVET LABORATORIES S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,$0.05,$0.01,$0.08,$0.05,$0.03,2022
830073450,MCS CONSULTORIA Y MONITOREO AMBIENTAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7490,SERVICIOS,$0.05,$0.00,$0.06,$0.03,$0.04,2022
800143610,SOFORESTA SAS,SUPERSOCIEDADES,Otros,HUILA,NEIVA-HUILA,4290,CONSTRUCCIÓN,$0.05,$0.00,$0.03,$0.01,$0.02,2022
860400538,RAYCO S.A. RODRIGO ARISTIZABAL Y CIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4652,COMERCIO,$0.05,$0.00,$0.03,$0.02,$0.01,2022
900497857,LX PANTOS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5229,SERVICIOS,$0.05,$0.00,$0.02,$0.01,$0.01,2022
900062201,ALSEC ALIMENTOS SECOS S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,1089,MANUFACTURA,$0.05,$0.00,$0.04,$0.03,$0.02,2022
900561861,FUJIFILM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4649,COMERCIO,$0.05,$0.00,$0.02,$0.02,$0.01,2022
901196634,INVERSIONES IDM SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,CARMEN-DE-VIBORAL-ANTIOQUIA-ANTIOQUIA,4711,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
811028339,IUVITY COLOMBIA LTDA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,6209,SERVICIOS,$0.05,$0.00,$0.03,$0.02,$0.02,2022
901164842,DROGUERIAS COPIFAM DE COLOMBIA SAS,SUPERSOCIEDADES,Otros,TOLIMA,IBAGUE-TOLIMA,4773,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
891100670,CIVILES MECANICOS ELECTRICOS INGENIEROS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4290,CONSTRUCCIÓN,$0.05,$0.00,$0.05,$0.03,$0.02,2022
860351812,SIETE VEINTICUATRO LTDA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8010,SERVICIOS,$0.05,$0.00,$0.02,$0.01,$0.01,2022
901321301,OLA TRADING GROUP SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4610,COMERCIO,$0.05,$0.00,$0.00,$0.00,$0.00,2022
900893683,SEMILLAS ELITE DE PALMA PARA LAS AMERICAS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,126,AGROPECUARIO,$0.05,$0.01,$0.07,$0.03,$0.04,2022
900684984,AUTOLUX SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4511,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
860043588,PARDO CARRIZOSA NAVAS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,125,AGROPECUARIO,$0.05,$0.00,$0.02,$0.02,$0.01,2022
811042087,COMPAÑIA INTEGRAL NEGOCIOS DE COLOMBIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,7112,SERVICIOS,$0.05,$0.00,$0.02,$0.02,$0.00,2022
900760696,EBANX COLOMBIA SOCIEDAD POR ACCCIONES SIMPLIFICADA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5820,SERVICIOS,$0.05,-$0.00,$0.04,$0.04,$0.01,2022
834001328,UNISANTANDER SAS,SUPERSOCIEDADES,Otros,ARAUCA,SARAVENA-ARAUCA,4620,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.01,2022
900440441,SEIDOR COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6202,SERVICIOS,$0.05,$0.00,$0.02,$0.02,$0.00,2022
860030640,CI INDUSTRIAS HUMCAR SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3290,MANUFACTURA,$0.05,$0.00,$0.04,$0.02,$0.01,2022
900488078,ORGANIZACION FERKATIO SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,APARTADO-ANTIOQUIA,4663,COMERCIO,$0.05,$0.00,$0.02,$0.01,$0.01,2022
830512556,POWER OIL LUBRICANTES SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,GALAPA-ATLANTICO,1921,MANUFACTURA,$0.05,$0.00,$0.01,$0.01,$0.00,2022
901224279,SOCIEDAD COMERCIALIZADORA CARBONES CARBONORA S.A.S.,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,BOCHALEMA-NORTE DE SANTANDER-NORTE DE SANTANDER,510,MINERO,$0.05,$0.00,$0.04,$0.03,$0.01,2022
800228773,COOPERATIVA DE TRABAJO ASOCIADO DE PROFESIONALES DE LA SALUD DE DONMATIAS - PROSALCO,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8621,SERVICIOS,$0.05,$0.00,$0.01,$0.01,$0.00,2022
830087099,CENTRAL PARKING SYSTEM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5221,SERVICIOS,$0.05,$0.00,$0.02,$0.01,$0.01,2022
800112725,FUNDACION OFTALMOLOGICA DEL CARIBE,SUPERSALUD,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,8621,SERVICIOS,$0.05,$0.00,$0.03,$0.02,$0.02,2022
900168613,PRAXIS PHARMACEUTICAL COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,$0.05,$0.01,$0.03,$0.01,$0.01,2022
901127873,PRA GROUP COLOMBIA HOLDING S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6493,SERVICIOS,$0.05,$0.01,$0.07,$0.01,$0.06,2022
890404359,MOVICON CONSTRUCTORES SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,4290,CONSTRUCCIÓN,$0.05,$0.00,$0.10,$0.04,$0.06,2022
844004197,RED SALUD CASANARE E.S.E.,SUPERSALUD,Otros,CASANARE,VILLANUEVA-CASANARE,8621,SERVICIOS,$0.05,$0.00,$0.09,$0.02,$0.07,2022
900126847,"INVERSIONES CALO S,A.S",SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4731,COMERCIO,$0.05,$0.00,$0.02,$0.01,$0.01,2022
890312535,SPATARO NAPOLI S A S,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,1410,MANUFACTURA,$0.05,$0.00,$0.05,$0.03,$0.02,2022
900123883,AGROQUIMICOS ORIENTE S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUSAGASUGA-CUNDINAMARCA,4664,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.01,2022
891409390,RADIOLOGOS ASOCIADOS S.A.S,SUPERSALUD,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,8691,SERVICIOS,$0.05,$0.02,$0.08,$0.02,$0.07,2022
900227389,CIENO GROUP SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7010,SERVICIOS,$0.05,$0.04,$0.22,$0.08,$0.14,2022
900940386,"TELEFÓNICA GLOBAL SOLUTIONS COLOMBIA, S.A.S",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6190,SERVICIOS,$0.05,-$0.00,$0.06,$0.05,$0.01,2022
900438876,INTECO MC SAS|,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4651,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
901230044,DISTRIBUIDORA COMERCIAL DULCES Y DULCES SAS,SUPERSOCIEDADES,Costa Pacífica,NARIÑO,PASTO-NARIÑO,4631,COMERCIO,$0.05,$0.00,$0.01,$0.00,$0.01,2022
800195623,ALIMENTOS SAS S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1020,MANUFACTURA,$0.05,$0.01,$0.03,$0.03,$0.00,2022
824006407,INVERSIONES MORON PEÑA S.A.S.,SUPERSOCIEDADES,Costa Atlántica,CESAR,VALLEDUPAR-CESAR,4731,COMERCIO,$0.05,$0.00,$0.03,$0.01,$0.02,2022
900360725,INVERSIONES AGROPECUARIAS GARCIA PATIÑO SASM,SUPERSOCIEDADES,Eje Cafetero,QUINDIO,ARMENIA-QUINDIO,144,AGROPECUARIO,$0.05,$0.01,$0.02,$0.01,$0.02,2022
860008207,MERCER COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7020,SERVICIOS,$0.05,$0.01,$0.07,$0.03,$0.03,2022
901343178,NUB78 SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6311,SERVICIOS,$0.05,$0.01,$0.02,$0.01,$0.01,2022
860532426,NAVES S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5229,SERVICIOS,$0.05,$0.02,$0.09,$0.05,$0.04,2022
830091676,MEDIREX BIC SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,$0.05,$0.00,$0.03,$0.02,$0.02,2022
900036573,LACTEOS RANCHERO LLANOGRANDE S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,RIONEGRO-ANTIOQUIA,1040,MANUFACTURA,$0.05,$0.00,$0.01,$0.00,$0.01,2022
900779955,COMERCIALIZADORA INTERNACIONAL EXUN SAS COMERCIALIZADORA INTERNACIONAL EXUN SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4662,COMERCIO,$0.05,$0.00,$0.00,$0.00,$0.00,2022
900138756,INVERSIONES JAIBU S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,144,AGROPECUARIO,$0.05,$0.00,$0.02,$0.01,$0.02,2022
900690670,COSTA OIL S.A.S,SUPERSOCIEDADES,Costa Atlántica,CORDOBA,MONTERIA-CORDOBA,4732,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
890930831,ARCOLI SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2599,MANUFACTURA,$0.05,$0.00,$0.02,$0.01,$0.01,2022
900197015,INSUMOS AGROSERVILLA S.A.S,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,4664,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
900456739,HILTI COLOMBIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4719,COMERCIO,$0.05,$0.00,$0.04,$0.03,$0.01,2022
890901484,FERNANDEZ Y CIA SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4663,COMERCIO,$0.05,$0.00,$0.01,$0.01,$0.00,2022
901219993,COBB COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,145,AGROPECUARIO,$0.05,-$0.03,$0.04,$0.12,-$0.08,2022
800164923,DISTRIBUIDORA ANDINA DE ARTICULOS DEPORTIVOS S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,4644,COMERCIO,$0.05,$0.00,$0.07,$0.05,$0.02,2022
901446574,TRAMI INVERSIONES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6810,SERVICIOS,$0.05,$0.03,$0.10,$0.06,$0.04,2022
890102140,CLINICA LA ASUNCION,SUPERSALUD,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,8610,SERVICIOS,$0.05,-$0.01,$0.10,$0.06,$0.04,2022
900159239,OPERACION Y GESTION INTEGRAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CAJICA-CUNDINAMARCA,6190,SERVICIOS,$0.05,$0.00,$0.02,$0.01,$0.01,2022
811009359,DYVAL SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1081,MANUFACTURA,$0.05,-$0.00,$0.01,$0.01,$0.00,2022
800065887,PAPELERA FK SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4669,COMERCIO,$0.05,$0.00,$0.04,$0.03,$0.01,2022
